timestamps,TP9,AF7,AF8,TP10,Right AUX
1731646379.478,70.312,-13.184,-13.672,75.195,0.000
1731646379.482,50.293,-15.625,-17.578,69.336,0.000
1731646379.486,44.922,-32.715,-19.043,64.941,0.000
1731646379.490,65.430,-23.438,-15.137,64.453,0.000
1731646379.494,68.848,-20.508,-10.254,40.527,0.000
1731646379.498,38.086,-22.461,-16.602,15.137,0.000
1731646379.501,43.457,-20.020,-23.438,22.949,0.000
1731646379.505,52.246,-23.438,-17.090,38.086,0.000
1731646379.509,31.738,-24.414,-7.812,17.090,0.000
1731646379.513,31.738,-18.555,-3.418,18.555,0.000
1731646379.517,36.621,-22.949,-4.395,24.902,0.000
1731646379.521,30.273,-37.109,-12.695,12.695,0.000
1731646379.525,25.391,-37.109,-12.207,10.254,0.000
1731646379.529,27.344,-21.973,-4.883,16.113,0.000
1731646379.533,26.367,-18.555,-18.066,0.977,0.000
1731646379.537,7.812,-30.273,-23.926,-18.066,0.000
1731646379.540,-10.254,-29.785,-20.508,-20.020,0.000
1731646379.544,-9.277,-28.809,-20.508,-17.090,0.000
1731646379.548,0.977,-29.785,-16.113,-12.207,0.000
1731646379.552,18.555,-22.461,-15.137,-11.230,0.000
1731646379.556,20.020,-27.344,-22.461,-8.789,0.000
1731646379.560,-5.859,-21.484,-30.762,-15.625,0.000
1731646379.564,-2.930,-15.625,-29.297,-9.277,0.000
1731646379.568,-2.930,-38.574,-28.809,-34.668,0.000
1731646379.572,-15.625,-41.504,-29.297,-54.199,0.000
1731646379.576,-5.859,-38.574,-36.133,-30.762,0.000
1731646379.580,-16.602,-46.387,-31.738,-20.508,0.000
1731646379.583,-16.113,-29.785,-20.020,-2.930,0.000
1731646379.587,13.184,-24.414,-29.785,-22.461,0.000
1731646379.591,-6.348,-36.621,-29.297,-55.176,0.000
1731646379.595,-35.645,-39.062,-25.391,-74.219,0.000
1731646379.599,-28.809,-41.504,-29.297,-90.332,0.000
1731646379.603,-30.762,-38.574,-31.738,-77.637,0.000
1731646379.607,-18.066,-20.508,-27.344,-41.504,0.000
1731646379.611,-13.184,-12.207,-23.438,-41.504,0.000
1731646379.615,-27.832,-40.039,-22.461,-51.758,0.000
1731646379.619,-9.277,-41.016,-21.484,-24.902,0.000
1731646379.622,7.324,-14.648,-26.855,-30.762,0.000
1731646379.626,-15.137,-15.625,-29.785,-59.082,0.000
